c_alfabeta,principio_activo,marca_comercial,presentacion,laboratorio,potencia,potencia_medida,unidades_presentacion,pactivo_concentracion,periodo,copago
45362,pregabalina,NEURISTAN,75 mg cáps.x 30,Casasco,"75,0",mg,30,"pregabalina_75,0_mg_30",202504,15762.63
45363,pregabalina,NEURISTAN,150 mg cáps.x 30,Casasco,"150,0",mg,30,"pregabalina_150,0_mg_30",202504,25059.77
45365,levetiracetam,CALLEXE,500 mg iny.a.x 5,Casasco,"500,0",mg,5,"levetiracetam_500,0_mg_5",202504,32271.47
45366,memantine,CARRIER,20 mg comp.x 30,Casasco,"20,0",mg,30,"memantine_20,0_mg_30",202504,20466.71
45372,levetiracetam,VECETAM 500,comp.rec.ran.x 60,Richmond,"500,0",mg,60,"levetiracetam_500,0_mg_60",202504,57659.08
45373,levetiracetam,VECETAM 1000,comp.rec.ran.x 30,Richmond,"1000,0",mg,30,"levetiracetam_1000,0_mg_30",202504,57659.08
45385,gammaglobulina antitetán.+toxoid,GAMMATET T,250UI jga.prell.+toxoide,Gador,,No Clasificada,1,gammaglobulina antitetán.+toxoid_No Clasificada_1,202504,2735.9
45392,furosemida,FUROSEMIDA FECOFAR,comp.x 50,Fecofar,"40,0",mg,50,"furosemida_40,0_mg_50",202504,2571.48
45397,tiocolchicosido,MOLAGAR,4 mg comp.x 20,Finadiet,"4,0",mg,20,"tiocolchicosido_4,0_mg_20",202504,7191.32
45402,rosuvastatina,ROSUVASTATINA RICHET,20 mg comp.x 28,Richet,"20,0",mg,28,"rosuvastatina_20,0_mg_28",202504,14401.07
45410,"condroitín,sulfato+glucosamina",GLUCO ARRUMALON DUO,cáps.x 60,Siegfried,"900,0",mg,60,"condroitín,sulfato+glucosamina_900,0_mg_60",202504,12426.33
45415,losartán,VINTEX,50 mg comp.rec.x 30,Rospaw,"50,0",mg,30,"losartán_50,0_mg_30",202504,3409.79
45416,losartán,VINTEX,100 mg comp.rec.x 30,Rospaw,"100,0",mg,30,"losartán_100,0_mg_30",202504,4226.58
45417,triticum vulgare+asoc.,CICATUL N.F.,cr.vag.x 60 g,Megalabs Argent,,No Clasificada,1,triticum vulgare+asoc._No Clasificada_1,202504,9392.67
45419,valsartán+hidrocloroti.+amlodip.,EXFORGE D,160/12.5/10 mg comp.x 28,Siegfried,"182,5",mg,28,"valsartán+hidrocloroti.+amlodip._182,5_mg_28",202504,25852.72
45420,valsartán+hidrocloroti.+amlodip.,EXFORGE D,160/25/10 mg comp.x 28,Siegfried,"195,0",mg,28,"valsartán+hidrocloroti.+amlodip._195,0_mg_28",202504,26101.04
45421,metilfenidato,RITALINA LA,10 mg cáps.x 30,Novartis,"10,0",mg,30,"metilfenidato_10,0_mg_30",202504,29333.7
45426,esomeprazol,NEXIUM,10 mg sobres x 28,AstraZeneca,"10,0",mg,28,"esomeprazol_10,0_mg_28",202504,38042.86
45428,metformina,DBI METFORMINA,sol.x 150 ml,Montpellier,"15000,0",mg,1,"metformina_15000,0_mg_1",202504,0.0
45429,metformina,DBI METFORMINA,sol.x 500 ml,Montpellier,"50000,0",mg,1,"metformina_50000,0_mg_1",202504,0.0
45441,salbutamol,AIRCOSALM,fco.x 20 ml,Lab Internacion,"100000,0",mcg,1,"salbutamol_100000,0_mcg_1",202504,36.23
45442,budesonide,AEROVIAL,fco.x 20 ml,Lab Internacion,"20000,0",mcg,1,"budesonide_20000,0_mcg_1",202504,153.63
45444,"diclofenac+vit.b,complejo",DIOXAFLEX COMPLEX,comp.rec.x 15,Bag¿,"276,0",mg,15,"diclofenac+vit.b,complejo_276,0_mg_15",202504,11093.98
45445,rosuvastatina,ROXOLAN,5 mg comp.rec.x 30,Siegfried,"5,0",mg,30,"rosuvastatina_5,0_mg_30",202504,6418.48
45448,quetiapina,QUETIAZIC,25 mg comp.x 60,Raffo,"25,0",mg,60,"quetiapina_25,0_mg_60",202504,33771.65
45449,quetiapina,QUETIAZIC,100 mg comp.x 60,Raffo,"100,0",mg,60,"quetiapina_100,0_mg_60",202504,56202.4
45452,quetiapina,QUETIAZIC,200 mg comp.x 60,Raffo,"200,0",mg,60,"quetiapina_200,0_mg_60",202504,75004.05
45460,estriol,MENOCLIM,óv.x 10,Beta,"5,0",mg,10,"estriol_5,0_mg_10",202504,11456.52
45488,mebendazol,TRU M,200 mg comp.x 6,Laboratorio Val,"200,0",mg,6,"mebendazol_200,0_mg_6",202504,4426.18
45492,zinc-piridin-3carboxilato,NICOZINC,sol.x 20 ml,Soubeiran Chobe,"440,0",mg,1,"zinc-piridin-3carboxilato_440,0_mg_1",202504,3196.6
45493,dienogest+valerato de estradiol,RUBI,comp.rec.x 28,Gador,"4,0",mg,28,"dienogest+valerato de estradiol_4,0_mg_28",202504,8352.86
45496,salbutamol,SALBUTRAL,aer.x 250 dosis,Cassarß,"100,0",mcg,250,"salbutamol_100,0_mcg_250",202504,1507.49
45497,ramipril,TRITACE,10 mg comp.x 30,PharmaDorf,"10,0",mg,30,"ramipril_10,0_mg_30",202504,17441.35
45508,ciprofloxacina+dexametasona,OMAFLAXINA D,susp.oft.estéril x 5 ml,Biosintex,"20,0",mg,1,"ciprofloxacina+dexametasona_20,0_mg_1",202504,3503.46
45510,tiocolchicosido,MOLAGAR,4 mg a.x 6,Finadiet,"4,0",mg,6,"tiocolchicosido_4,0_mg_6",202504,482.19
45517,diclofenac+pridinol,VIMULTISA FLEX,comp.x 15,Fabra,"54,0",mg,15,"diclofenac+pridinol_54,0_mg_15",202504,8120.4
45520,enalapril,PRESI REGUL,10 mg comp.x 30,Fabra,"10,0",mg,30,"enalapril_10,0_mg_30",202504,1657.44
45521,enalapril,PRESI REGUL,10 mg comp.x 60,Fabra,"10,0",mg,60,"enalapril_10,0_mg_60",202504,3208.0
45522,enalapril,PRESI REGUL,20 mg comp.x 30,Fabra,"20,0",mg,30,"enalapril_20,0_mg_30",202504,2155.02
45523,enalapril,PRESI REGUL,20 mg comp.x 60,Fabra,"20,0",mg,60,"enalapril_20,0_mg_60",202504,4001.4
45524,enalapril+hidroclorotiazida,PRESI REGUL D,10 mg comp.x 30,Fabra,"35,0",mg,30,"enalapril+hidroclorotiazida_35,0_mg_30",202504,2555.94
45526,"amoxicilina+clavulánico,ác.",OPTAMOX DUO,susp.x 140 ml,Roemmers,"12796,0",mg,1,"amoxicilina+clavulánico,ác._12796,0_mg_1",202504,7380.92
45532,carvedilol,ENTARSOL 6.25,6.25 mg comp.x 28,Microsules Arg.,"6,3",mg,28,"carvedilol_6,3_mg_28",202504,3037.82
45533,carvedilol,ENTARSOL 12.5,12.5 mg comp.x 28,Microsules Arg.,"12,5",mg,28,"carvedilol_12,5_mg_28",202504,3800.43
45534,carvedilol,ENTARSOL 25,25 mg comp.x 28,Microsules Arg.,"25,0",mg,28,"carvedilol_25,0_mg_28",202504,4625.35
45554,eplerenona,EPLERONA,25 mg comp.rec.x 30,Gador,"25,0",mg,30,"eplerenona_25,0_mg_30",202504,8870.37
45555,eplerenona,EPLERONA,50 mg comp.rec.x 30,Gador,"50,0",mg,30,"eplerenona_50,0_mg_30",202504,12879.35
45558,nafazolina+asoc.,REFENAX,gts.nasales x 25 ml,Monserrat,"12,5",mg,1,"nafazolina+asoc._12,5_mg_1",202504,1927.29
45559,hialuronato sódico,DROPSTAR P,colirio x 10 ml,Poen,"20,0",mg,1,"hialuronato sódico_20,0_mg_1",202504,7876.21
45560,espironolactona,ALDACTONE A,25 mg comp.x 60,Pfizer,"25,0",mg,60,"espironolactona_25,0_mg_60",202504,11429.74
45561,espironolactona,ALDACTONE A,100 mg comp.x 60,Pfizer,"100,0",mg,60,"espironolactona_100,0_mg_60",202504,4639.02
45572,fosfato disódico+fosfato monosód,FOSFALAX ORAL,sol.x 45 ml,Lafedar,"11700,0",mg,1,"fosfato disódico+fosfato monosód_11700,0_mg_1",202504,6322.62
45573,fosfato disódico+fosfato monosód,FOSFALAX ENEMA,env.x 135 ml,Lafedar,"35100,0",mg,1,"fosfato disódico+fosfato monosód_35100,0_mg_1",202504,2684.76
45579,quetiapina,INQUETIA,25 mg comp.x 30,Roemmers,"25,0",mg,30,"quetiapina_25,0_mg_30",202504,21499.81
45580,quetiapina,INQUETIA,100 mg comp.x 30,Roemmers,"100,0",mg,30,"quetiapina_100,0_mg_30",202504,36259.69
45581,quetiapina,INQUETIA,200 mg comp.x 30,Roemmers,"200,0",mg,30,"quetiapina_200,0_mg_30",202504,44474.36
45582,moxifloxacina+dexametasona fosf.,MOFLAG D,coliro x 5 ml,Lab Internacion,"30,0",mg,1,"moxifloxacina+dexametasona fosf._30,0_mg_1",202504,4910.24
45603,risedronato,RIBASTAMIN 150 MG,comp.rec.x 1,Beta,"150,0",mg,1,"risedronato_150,0_mg_1",202504,10533.46
45621,eplerenona,OLDREN,25 mg comp.rec.x 30,Roemmers,"25,0",mg,30,"eplerenona_25,0_mg_30",202504,13443.59
45623,eplerenona,OLDREN,50 mg comp.rec.x 30,Roemmers,"50,0",mg,30,"eplerenona_50,0_mg_30",202504,19451.24
45624,"isosorbide,dinitrato",MEDOCOR SUBLINGUAL,5 mg comp.subl.x 30,Roemmers,"5,0",mg,30,"isosorbide,dinitrato_5,0_mg_30",202504,2462.52
45625,ciprofloxacina+dexametasona,PROCALM,sol.oft.x 5 ml,Lab Internacion,"20,0",mg,1,"ciprofloxacina+dexametasona_20,0_mg_1",202504,4509.13
45626,travoprost+timolol,GLAUNOT T,sol.oft.x 2.5 ml,Lab Internacion,"12,6",mg,1,"travoprost+timolol_12,6_mg_1",202504,15940.28
45628,dimenhidrinato,DR. AMIN,50 mg comp.rec.x 60,Eurolab,,No Clasificada,60,dimenhidrinato_No Clasificada_60,202504,337.5
45632,fluconazol,MICORAL FLUCO,cáps.x 1,Siegfried,"150,0",mg,1,"fluconazol_150,0_mg_1",202504,2146.31
45633,fluconazol,MICORAL FLUCO,cáps.x 2,Siegfried,"150,0",mg,2,"fluconazol_150,0_mg_2",202504,4520.04
45634,fluconazol,MICORAL FLUCO,cáps.x 4,Siegfried,"150,0",mg,4,"fluconazol_150,0_mg_4",202504,7897.07
45636,fluticasona,FLUTICORT,50 mcg spray nas.x60 ds.,Cassarß,"50,0",mcg,60,"fluticasona_50,0_mcg_60",202504,1684.91
45640,risedronato,BONECUR,150 mg comp.rec.x 1,Teva Argentina,"150,0",mg,1,"risedronato_150,0_mg_1",202504,12075.19
45641,prasugrel,CORILUM,5 mg comp.rec.x 30,Teva Argentina,"5,0",mg,30,"prasugrel_5,0_mg_30",202504,268.9
45642,prasugrel,CORILUM,10 mg comp.rec.x 30,Teva Argentina,"10,0",mg,30,"prasugrel_10,0_mg_30",202504,604.54
45646,vit.+minerales,CENTRUM FORTE,comp.rec.x 30,Pfizer,,No Clasificada,30,vit.+minerales_No Clasificada_30,202504,324.24
45647,vit.+minerales,CENTRUM FORTE,comp.rec.x 60,Pfizer,,No Clasificada,60,vit.+minerales_No Clasificada_60,202504,551.17
45648,atorvastatín+ezetimibe,LIPONORM PLUS,10/10 mg comp.x 30,Lazar,"20,0",mg,30,"atorvastatín+ezetimibe_20,0_mg_30",202504,14644.21
45649,atorvastatín+ezetimibe,LIPONORM PLUS,20/10 mg comp.x 30,Lazar,"30,0",mg,30,"atorvastatín+ezetimibe_30,0_mg_30",202504,20306.49
45654,dorzolamida+timolol,DORZOFLAX,gts.oft.x 5 ml,Sidus,"125,0",mg,1,"dorzolamida+timolol_125,0_mg_1",202504,11014.53
45664,tobramicina+dexametasona,TOBRATLAS DEXA,gts.oft.x 5 ml,Lab Internacion,"20,0",mg,1,"tobramicina+dexametasona_20,0_mg_1",202504,4424.4
45667,tizanidina,TIZANIDAL,2 mg comp.x 15,Lafedar,"2,0",mg,15,"tizanidina_2,0_mg_15",202504,2375.95
45668,tizanidina,TIZANIDAL,4 mg comp.x 30,Lafedar,"2,0",mg,30,"tizanidina_2,0_mg_30",202504,6843.41
45669,escitalopram,ZENVAS 10,10 mg comp.rec.x 30,AstraZeneca,"10,0",mg,30,"escitalopram_10,0_mg_30",202504,815.75
45670,escitalopram,ZENVAS 20,20 mg comp.rec.x 30,AstraZeneca,"20,0",mg,30,"escitalopram_20,0_mg_30",202504,1535.14
45673,flurbiprofeno,CLINADOL COLUTORIO,frasco x 150 ml,Gador,"375,0",mg,1,"flurbiprofeno_375,0_mg_1",202504,4898.0
45677,trimebutina+domperidona+simetic.,COLIXANE DISTEN,comp.x 60 (30+30),Sanitas,"410,0",mg,60,"trimebutina+domperidona+simetic._410,0_mg_60",202504,12557.0
45687,olanzapina,SARTINA,5 mg comp.x 30,Temis-Lostal¿,"5,0",mg,30,"olanzapina_5,0_mg_30",202504,35499.65
45689,olanzapina,SARTINA,10 mg comp.x 30,Temis-Lostal¿,"10,0",mg,30,"olanzapina_10,0_mg_30",202504,70295.44
45690,magnesio+asoc.,TOTAL MAGNESIANO STRESS,pvo.eferv.sob.x 30,Temis-Lostal¿,,No Clasificada,30,magnesio+asoc._No Clasificada_30,202504,23968.45
45691,magnesio+asoc.,TOTAL MAGNESIANO SPORT,sob.x 30,Temis-Lostal¿,,No Clasificada,30,magnesio+asoc._No Clasificada_30,202504,13162.33
45692,magnesio,TOTAL MAGNESIANO EFERVESCENTE,pvo.sob.x 30,Temis-Lostal¿,"218,8",mg,30,"magnesio_218,8_mg_30",202504,21707.24
45693,magnesio+vit.c,TOTAL MAGNESIANO VITAMINA C,pvo.eferv.sob.x 30,Temis-Lostal¿,,No Clasificada,30,magnesio+vit.c_No Clasificada_30,202504,22621.96
45694,magnesio+ginseng+asoc.,TOTAL MAGNESIANO GINSENG,pvo.sob.x 30,Temis-Lostal¿,,No Clasificada,30,magnesio+ginseng+asoc._No Clasificada_30,202504,26507.82
45699,glucosamina,FINDOL,sob.x 30,Temis-Lostal¿,"1500,0",mg,30,"glucosamina_1500,0_mg_30",202504,13983.82
45705,indacaterol,ONBRIZE BREEZHALER,150 mcg cáps.p/inh.x30,Novartis,"150,0",mcg,30,"indacaterol_150,0_mcg_30",202504,32800.91
45706,indacaterol,ONBRIZE BREEZHALER,300 mcg cáps.p/inh.x30,Novartis,"300,0",mcg,30,"indacaterol_300,0_mcg_30",202504,34663.84
45707,rosuvastatina,ATERONOVA,10 mg comp.x 30,Beta,"10,0",mg,30,"rosuvastatina_10,0_mg_30",202504,8953.68
45710,"omeprazol+sodio,bicarbonato",ULCOZOL RAPID 20,sob.monods.sabor f-m x30,Bag¿,"1700,0",mg,30,"omeprazol+sodio,bicarbonato_1700,0_mg_30",202504,2059.24
45711,acetilcisteína,ACEMUK,600 mg tab.eferv.x 60,Siegfried,"600,0",mg,60,"acetilcisteína_600,0_mg_60",202504,24900.45
45712,acetilcisteína,ACEMUK,600 mg tab.eferv.x 90,Siegfried,"600,0",mg,90,"acetilcisteína_600,0_mg_90",202504,12007.43
45717,clonazepam,CLONAZEPAM ROSPAW,0.5 mg comp.birran.x30,Rospaw,"0,5",mg,30,"clonazepam_0,5_mg_30",202504,3181.72
45718,clonazepam,CLONAZEPAM ROSPAW,0.5 mg comp.birran.x60,Rospaw,"0,5",mg,60,"clonazepam_0,5_mg_60",202504,4894.72
45719,clonazepam,CLONAZEPAM ROSPAW,2 mg comp.birran.x 30,Rospaw,"2,0",mg,30,"clonazepam_2,0_mg_30",202504,1324.7
45720,clonazepam,CLONAZEPAM ROSPAW,2 mg comp.birran.x 60,Rospaw,"2,0",mg,60,"clonazepam_2,0_mg_60",202504,1759.06
45721,alprazolam,ROSPAZ,0.50 mg comp.x 30,Rospaw,"0,5",mg,30,"alprazolam_0,5_mg_30",202504,1604.19
45722,alprazolam,ROSPAZ,0.50 mg comp.x 60,Rospaw,"0,5",mg,60,"alprazolam_0,5_mg_60",202504,2885.09
45723,alprazolam,ROSPAZ,1 mg comp.x 30,Rospaw,"1,0",mg,30,"alprazolam_1,0_mg_30",202504,2392.84
45724,alprazolam,ROSPAZ,1 mg comp.x 60,Rospaw,"1,0",mg,60,"alprazolam_1,0_mg_60",202504,4611.63
45725,alprazolam,ROSPAZ,2 mg comp.x 30,Rospaw,"2,0",mg,30,"alprazolam_2,0_mg_30",202504,3638.52
45726,alprazolam,ROSPAZ,2 mg comp.x 60,Rospaw,"2,0",mg,60,"alprazolam_2,0_mg_60",202504,7163.31
45737,salbutamol,AIRCOSALM HFA,aer.inh.c/adap.x 200ds.,Lab Internacion,"100,0",mcg,200,"salbutamol_100,0_mcg_200",202504,1569.47
45742,rifampicina,RIFALEP,300 mg cáps.x 8,Austral,"300,0",mg,8,"rifampicina_300,0_mg_8",202504,2956.0
45743,losartán,PAXON,50 mg comp.rec.x 56,Gador,"50,0",mg,56,"losartán_50,0_mg_56",202504,376.8
45744,losartán,PAXON,100 mg comp.rec.x 56,Gador,"100,0",mg,56,"losartán_100,0_mg_56",202504,877.54
45745,losartán+hidroclorotiazida,PAXON D,50/12.5 mg comp.rec.x 56,Gador,"62,5",mg,56,"losartán+hidroclorotiazida_62,5_mg_56",202504,897.41
45747,"hialurónico,ác.",MAXIOSTENIL PLUS,40 mg jga.prell.x 2 ml,Trb-Pharma,"80,0",mg,1,"hialurónico,ác._80,0_mg_1",202504,49904.0
45753,"amlodipina+losartán,potásico",FENSARTAN UNIMAX,50/5 mg comp.x 30,Elea,"55,0",mg,30,"amlodipina+losartán,potásico_55,0_mg_30",202504,13032.72
45754,"amlodipina+losartán,potásico",FENSARTAN UNIMAX,100/5 mg comp.x 30,Elea,"105,0",mg,30,"amlodipina+losartán,potásico_105,0_mg_30",202504,13851.41
45755,quetiapina,QUETIAROS,25 mg comp.x 30,Rospaw,"25,0",mg,30,"quetiapina_25,0_mg_30",202504,19165.51
45756,quetiapina,QUETIAROS,100 mg comp.x 30,Rospaw,"100,0",mg,30,"quetiapina_100,0_mg_30",202504,31989.73
45757,quetiapina,QUETIAROS,200 mg comp.x 30,Rospaw,"200,0",mg,30,"quetiapina_200,0_mg_30",202504,42161.36
45770,"diclofenac+vit.b,complejo",DIOXAFLEX COMPLEX,iny.a.x 3/3,Bag¿,,No Clasificada,3,"diclofenac+vit.b,complejo_No Clasificada_3",202504,987.46
45771,dexametasona+neomicina+asoc.,NEXADRON COMPUESTO,5/500/50mg% gts.oft.x5ml,Klonal,,No Clasificada,1,dexametasona+neomicina+asoc._No Clasificada_1,202504,5091.16
45794,"amoxicilina+clavulánico,ác.",PLENOBIOTIC DUO,susp.x 70 ml,Fecofar,"6398,0",mg,1,"amoxicilina+clavulánico,ác._6398,0_mg_1",202504,160.0
45795,"amoxicilina+clavulánico,ác.",PLENOBIOTIC DUO,comp.x 14,Fecofar,"1000,0",mg,14,"amoxicilina+clavulánico,ác._1000,0_mg_14",202504,6459.72
45796,losartán,ANTIPRESOL,50 mg comp.x 30,Fecofar,"50,0",mg,30,"losartán_50,0_mg_30",202504,3525.46
45797,losartán,ANTIPRESOL,100 mg comp.x 30,Fecofar,"100,0",mg,30,"losartán_100,0_mg_30",202504,4320.99
45799,ibuprofeno+clorzoxazona,FLEXINA 600,comp.rec.x 20,Sidus,"850,0",mg,20,"ibuprofeno+clorzoxazona_850,0_mg_20",202504,12787.96
45800,betahistina,MENIEX,24 mg comp.x 60,Fortbenton,"24,0",mg,60,"betahistina_24,0_mg_60",202504,18075.05
45803,accesorio,CLIKSTAR,Disposit.iny.insulina x1,Sanofi-Aventis,,No Clasificada,1,accesorio_No Clasificada_1,202504,0.0
45808,rivastigmina,RIVASMINA,1.5 mg cáps.x 14,Lafedar,"1,5",mg,14,"rivastigmina_1,5_mg_14",202504,7316.03
45809,atorvastatín,LIPODREN,10 mg comp.x 30,Lafedar,"10,0",mg,30,"atorvastatín_10,0_mg_30",202504,5056.78
45811,atorvastatín,LIPODREN,20 mg comp.x 30,Lafedar,"20,0",mg,30,"atorvastatín_20,0_mg_30",202504,8206.47
45813,rivastigmina,RIVASMINA,1.5 mg cáps.x 28,Lafedar,"1,5",mg,28,"rivastigmina_1,5_mg_28",202504,11705.37
45814,rivastigmina,RIVASMINA,3 mg cáps.x 14,Lafedar,"3,0",mg,14,"rivastigmina_3,0_mg_14",202504,7316.03
45815,rivastigmina,RIVASMINA,1.5 mg cáps.x 56,Lafedar,"1,5",mg,56,"rivastigmina_1,5_mg_56",202504,15982.32
45816,rivastigmina,RIVASMINA,3 mg cáps.x 28,Lafedar,"3,0",mg,28,"rivastigmina_3,0_mg_28",202504,11705.37
45817,rivastigmina,RIVASMINA,4.5 mg cáps.x 14,Lafedar,"4,5",mg,14,"rivastigmina_4,5_mg_14",202504,7316.03
45818,rivastigmina,RIVASMINA,3 mg cáps.x 56,Lafedar,"3,0",mg,56,"rivastigmina_3,0_mg_56",202504,15982.32
45819,rivastigmina,RIVASMINA,4.5 mg cáps.x 28,Lafedar,"4,5",mg,28,"rivastigmina_4,5_mg_28",202504,11705.37
45820,rivastigmina,RIVASMINA,4.5 mg cáps.x 56,Lafedar,"4,5",mg,56,"rivastigmina_4,5_mg_56",202504,15982.32
45821,rivastigmina,RIVASMINA,6 mg cáps.x 14,Lafedar,"6,0",mg,14,"rivastigmina_6,0_mg_14",202504,7316.03
45822,rivastigmina,RIVASMINA,6 mg cáps.x 28,Lafedar,"6,0",mg,28,"rivastigmina_6,0_mg_28",202504,11705.37
45823,rivastigmina,RIVASMINA,6 mg cáps.x 56,Lafedar,"6,0",mg,56,"rivastigmina_6,0_mg_56",202504,15982.32
45844,"amoxicilina+clavulánico,ác.",CLAMOXOL DUO,comp.rec.x 10,Cassarß,"1000,0",mg,10,"amoxicilina+clavulánico,ác._1000,0_mg_10",202504,3197.79
45847,sildenafil,MAGNUS,50 mg caps.blandas x 2,Sidus,"50,0",mg,2,"sildenafil_50,0_mg_2",202504,220.31
45848,sildenafil,MAGNUS,50 mg caps.blandas x 10,Sidus,"50,0",mg,10,"sildenafil_50,0_mg_10",202504,1070.06
45850,carvedilol,DILATREND,6.25 mg comp.ran.x 56,Siegfried,"6,3",mg,56,"carvedilol_6,3_mg_56",202504,4306.51
45851,carvedilol,DILATREND,12.5 mg comp.ran.x 56,Siegfried,"12,5",mg,56,"carvedilol_12,5_mg_56",202504,5856.64
45852,carvedilol,DILATREND,25 mg comp.ran.x 56,Siegfried,"25,0",mg,56,"carvedilol_25,0_mg_56",202504,7443.69
45853,toxoide tetánico,TETANOL PUR,susp.iny.x 1 x 0.5 ml,GlaxoSmithKline,,No Clasificada,1,toxoide tetánico_No Clasificada_1,202504,1353.26
45859,amoxicilina,AMOXICILINA RICHET DUO,750 mg pvo.p/susp.x 70ml,Richet,"10500,0",mg,1,"amoxicilina_10500,0_mg_1",202504,3487.2
45861,amoxicilina,AMOXICILINA RICHET DUO,875 mg comp.x 14 (TRZB),Richet,"875,0",mg,14,"amoxicilina_875,0_mg_14",202504,3239.62
45865,tramadol,TRAMAL,100 mg/ml gts.x 20 ml,Vannier-Grunent,"2000,0",mg,1,"tramadol_2000,0_mg_1",202504,11224.02
45866,tramadol,TRAMAL,50 mg cáps.x 20,Vannier-Grunent,"50,0",mg,20,"tramadol_50,0_mg_20",202504,6593.13
45874,sildenafil,VIMAX FLASH 50,50mg comp.dis.buc.rap.x6,Roemmers,"50,0",mg,6,"sildenafil_50,0_mg_6",202504,6451.76
45886,budesonide,NEUMOTEX NEBU,env.x 20 ml,Elea,"20000,0",mcg,1,"budesonide_20000,0_mcg_1",202504,4555.02
45899,acetazolamida,DIABO,250 mg comp.x 50,Max Vision,"250,0",mg,50,"acetazolamida_250,0_mg_50",202504,3025.09
45909,rosuvastatina,ATERONOVA,20 mg comp.x 30,Beta,"20,0",mg,30,"rosuvastatina_20,0_mg_30",202504,16272.65
45935,budesonide,NEUMOCORT HFA,200 mcg aer.x 200 dosis,Cassarß,"40000,0",mcg,200,"budesonide_40000,0_mcg_200",202504,2285.36
45957,sildenafil,FORZAK,50 mg comp.mast.x 4,Biosintex,"50,0",mg,4,"sildenafil_50,0_mg_4",202504,2634.61
45963,risperidona,RIATUL 1,1 mg/ml sol.oral x 30 ml,Baliarda,"30,0",mg,1,"risperidona_30,0_mg_1",202504,10769.36
46003,mesalazina,SALOFALK,500 mg comp.x 100,LKM,"500,0",mg,100,"mesalazina_500,0_mg_100",202504,73279.22
46006,"ursodesoxicólico,ác.",URSOFALK,250 mg cáps.x 100,LKM,"250,0",mg,100,"ursodesoxicólico,ác._250,0_mg_100",202504,52142.24
46010,trimebutina,EUMOTIL,200 mg comp.x 30,Baliarda,"200,0",mg,30,"trimebutina_200,0_mg_30",202504,5503.93
46016,metformina,METFORMINA ROSPAW 500,comp.rec.x 30,Rospaw,"500,0",mg,30,"metformina_500,0_mg_30",202504,0.0
46017,metformina,METFORMINA ROSPAW 500,comp.rec.x 60,Rospaw,"500,0",mg,60,"metformina_500,0_mg_60",202504,0.0
46018,metformina,METFORMINA ROSPAW 850 AP,850 mg comp.rec.AP x 30,Rospaw,"850,0",mg,30,"metformina_850,0_mg_30",202504,0.0
46019,metformina,METFORMINA ROSPAW 850 AP,850 mg comp.rec.AP x 60,Rospaw,"850,0",mg,60,"metformina_850,0_mg_60",202504,0.0
46020,calcitriol,CALCIRAQUIFEROL,cáps.blandas x 30,Roemmers,"250,0",ng,30,"calcitriol_250,0_ng_30",202504,5254.98
46033,budesonide,AEROVIAL HFA,aer.x 200 ds.+adap.buc.,Lab Internacion,"40000,0",mcg,200,"budesonide_40000,0_mcg_200",202504,4402.03
46070,vit.+minerales,CENTRUM SILVER FORTE,comp.rec.x 30,Pfizer,,No Clasificada,30,vit.+minerales_No Clasificada_30,202504,354.52
46071,vit.+minerales,CENTRUM SILVER FORTE,comp.rec.x 60,Pfizer,,No Clasificada,60,vit.+minerales_No Clasificada_60,202504,604.36
46072,lornoxicam,XEFO RAPID,8 mg comp.rec.x 30,Takeda,"8,0",mg,30,"lornoxicam_8,0_mg_30",202504,430.77
46079,loratadina+pseudoefedrina,ALERPRIV D,jbe.x 50 ml,Montpellier,"650,0",mg,1,"loratadina+pseudoefedrina_650,0_mg_1",202504,3577.04
46080,metformina,DBI AP 500,500 mg comp.rec.AP x 30,Montpellier,"500,0",mg,30,"metformina_500,0_mg_30",202504,0.0
46081,metformina,DBI AP 500,500 mg comp.rec.AP x 60,Montpellier,"500,0",mg,60,"metformina_500,0_mg_60",202504,0.0
46082,metformina,DBI AP 500,500 mg comp.rec.AP x 100,Montpellier,"500,0",mg,100,"metformina_500,0_mg_100",202504,0.0
46083,paracetamol+pseudoefedrina+asoc.,REFRIANEX,jbe.x 100 ml,Montpellier,"3180,0",mg,1,"paracetamol+pseudoefedrina+asoc._3180,0_mg_1",202504,4640.64
46084,paracetamol+pseudoefedrina+asoc.,REFRIANEX COMPUESTO,jbe.x 100 ml,Montpellier,"3220,0",mg,1,"paracetamol+pseudoefedrina+asoc._3220,0_mg_1",202504,4658.17
46099,diclofenac+pridinol,FABOGESIC PLEN,50/4 mg cáps.x 10,Savant Generic,"54,0",mg,10,"diclofenac+pridinol_54,0_mg_10",202504,4585.69
46115,latanoprost+timolol,GLAUCOGESIC T,sol.oft.x 2.5 ml,Lab Internacion,"12,6",mg,1,"latanoprost+timolol_12,6_mg_1",202504,9378.8
46116,diclofenac sódico+omeprazol,DIOXAFLEX PROTECT,cáps.x 10,Bag¿,"85,0",mg,10,"diclofenac sódico+omeprazol_85,0_mg_10",202504,8859.4
46117,diclofenac sódico+omeprazol,DIOXAFLEX PROTECT,cáps.x 30,Bag¿,"85,0",mg,30,"diclofenac sódico+omeprazol_85,0_mg_30",202504,25175.2
46123,fosfomicina,FOSFOMICINA LUAR,1 g IV iny.f.a.caja x 10,Qu¿mica Luar,"1000,0",mg,10,"fosfomicina_1000,0_mg_10",202504,37202.48
